FID,Permit_ID,Permit_Nam,Address,City,State,Zip,County,PrimaryWas,PrimaryOpe,PermitStat,PermitExpD,Status,Latitude,Longitude,counties_FID,counties_OBJECTID,counties_PERIMETER,counties_CO_ABBR,counties_ACRES,counties_Shape_Leng,counties_RO,counties_GlobalID,counties_SHAPE_Le_1,counties_SHAPE_Area
"502",44A-LCID-1992,Haywood County Landfill,Incinerator Road,Canton,NC,"28721",Haywood,LCID,LF,InactiveClosed,,Closed,35.550460999999999,-82.869684000000007,"52",52.000000000000000,202233.390625000000000,HAYW,354865.093750000000000,663494.060184999951161,ARO,{6E53E137-1261-4379-958E-C79BC6C59E39},248910.535799357603537,15457913296.500000000000000
"503",4501-CDLF-1998,Henderson County C&D Landfill,800 Stoney Mountain Road,Hendersonville,NC,"28791",Henderson,CD,LF,InactiveClosed,,Open,35.352770999999997,-82.492502999999999,"66",66.000000000000000,179688.703125000000000,HEND,240054.984375000000000,589528.666991999954917,ARO,{1483D13C-AC37-48B6-B467-837ADC5E6B94},220579.427749590657186,10456788029.599998474121094
"504",4501-MSWLF-1980,Henderson County Landfill,191 Transfer Station Dr,Hendersonville,NC,"28791",Henderson,MSW,LF,InactiveClosed,,Closed,35.355231000000003,-82.493692999999993,"66",66.000000000000000,179688.703125000000000,HEND,240054.984375000000000,589528.666991999954917,ARO,{1483D13C-AC37-48B6-B467-837ADC5E6B94},220579.427749590657186,10456788029.599998474121094
"505",4502-INDUS-,Kimberly Clark Industrial Waste Landfill,32 Smythe Avenue,Hendersonville,NC,"28792",Henderson,Indus,LF,InactiveClosed,,Closed,35.339835999999998,-82.469652999999994,"66",66.000000000000000,179688.703125000000000,HEND,240054.984375000000000,589528.666991999954917,ARO,{1483D13C-AC37-48B6-B467-837ADC5E6B94},220579.427749590657186,10456788029.599998474121094
"506",4503-INDUS-1982,Cranston Print Works,U.S. Highway 25,Fletcher,NC,"28732",Henderson,Indus,LF,InactiveClosed,,Closed,35.416868000000001,-82.500984000000003,"66",66.000000000000000,179688.703125000000000,HEND,240054.984375000000000,589528.666991999954917,ARO,{1483D13C-AC37-48B6-B467-837ADC5E6B94},220579.427749590657186,10456788029.599998474121094
"507",4601-MSWLF-1983,Hertford County Landfill,Mt Moriah Road (S.R. 1174),Winton,NC,"27910",Hertford,MSW,LF,InactiveClosed,,Closed,36.392358999999999,-76.971575999999999,"13",13.000000000000000,178531.078125000000000,HERT,231307.421874999970896,585730.729171999963000,WARO,{45C5AB3A-3A60-47F7-BC1F-C71686FBFEB1},221855.649581286619650,10075744740.600002288818359
"508",4701-MSWLF-1981,Hoke County Landfill,Doc Brown Road (S.R. 1302),Raeford,NC,"28376",Hoke,MSW,LF,InactiveClosed,,Closed,35.007922000000001,-79.219836000000001,"84",84.000000000000000,157539.843750000000000,HOKE,251090.390625000000000,516861.987444999977015,FRO,{1AC74665-B78E-49B6-A311-8F9F9D2C2547},192624.133661616593599,10937490488.000000000000000
"509",47A-LCID-1996,Hoke County LCID Landfill,700 C.C. Steel Road,Raeford,NC,"28376",Hoke,LCID,LF,Active,2015/07/27,Closed,35.007340999999997,-79.218221000000000,"84",84.000000000000000,157539.843750000000000,HOKE,251090.390625000000000,516861.987444999977015,FRO,{1AC74665-B78E-49B6-A311-8F9F9D2C2547},192624.133661616593599,10937490488.000000000000000
"510",48A-DEMO-,Hyde County Demo Landfill,Credle Road (S.R. 1127),Swan Quarter,NC,"27885",Hyde,CD,LF,InactiveClosed,,Closed,35.394430999999997,-76.311420999999996,"58",58.000000000000000,309015.250000000000000,HYDE,882040.875000000000000,1013827.503350000013597,WARO,{5AE037C2-D374-44DC-8C50-462E06BB1F69},379791.709025652613491,38421675742.400001525878906
"511",48B-DEMO-,Hyde County Demo Landfill,Hwy 45  (Ponzer Road),Ponzer,NC,"27875",Hyde,CD,LF,InactiveClosed,,Closed,35.587398000000000,-76.480304000000004,"58",58.000000000000000,309015.250000000000000,HYDE,882040.875000000000000,1013827.503350000013597,WARO,{5AE037C2-D374-44DC-8C50-462E06BB1F69},379791.709025652613491,38421675742.400001525878906
"512",48C-DEMO-,Hyde County Demo Landfill,Hwy 264 N.,Englehard,NC,"27824",Hyde,CD,LF,InactiveClosed,,Closed,35.520851000000000,-75.987060999999997,"58",58.000000000000000,309015.250000000000000,HYDE,882040.875000000000000,1013827.503350000013597,WARO,{5AE037C2-D374-44DC-8C50-462E06BB1F69},379791.709025652613491,38421675742.400001525878906
"513",4901-MSWLF-1975,Iredell County Landfill,243 Twin Oaks Road,Statesville,NC,"28625",Iredell,MSW,LF,InactiveClosed,,Closed,35.778467999999997,-80.819061000000005,"95",95.000000000000000,194665.468750000000000,IRED,379626.187500000000000,638664.962935999967158,MRO,{7E53ABB0-6005-464E-91D8-1E60A0031C01},240335.534884182416135,16635303647.899999618530273
"514",4903-CDLF-1993,Iredell County C&D Unit,354 Twin Oaks Road,Statesville,NC,"28625",Iredell,CD,LF,InactiveClosed,,Open,35.771141000000000,-80.823460999999995,"95",95.000000000000000,194665.468750000000000,IRED,379626.187500000000000,638664.962935999967158,MRO,{7E53ABB0-6005-464E-91D8-1E60A0031C01},240335.534884182416135,16635303647.899999618530273
"515",4903-MSWLF-1993,Iredell County Sanitary LF,354 Twin Oaks Road,Statesville,NC,"28625",Iredell,MSW,LF,Active,2018/07/30,Open,35.770218999999997,-80.823851000000005,"95",95.000000000000000,194665.468750000000000,IRED,379626.187500000000000,638664.962935999967158,MRO,{7E53ABB0-6005-464E-91D8-1E60A0031C01},240335.534884182416135,16635303647.899999618530273
"516",5001-MSWLF-1984,Western Carolina University,Monteith Road (S.R. 1336),Cullowhee,NC,"28723",Jackson,MSW,LF,InactiveClosed,,Closed,35.324181000000003,-83.182250999999994,"63",63.000000000000000,196354.328125000000000,JACK,316710.531249999941792,644205.828106999979354,ARO,{63544AE3-E21E-4608-BC39-897003535CCE},240826.089838872721884,13795902926.799999237060547
"517",5002-CDLF-1998,Jackson County Landfill CDLF,U.S. Hwy 441,Dillsboro,NC,"28779",Jackson,CD,LF,InactiveClosed,,Closed,35.371971000000002,-83.261360999999994,"63",63.000000000000000,196354.328125000000000,JACK,316710.531249999941792,644205.828106999979354,ARO,{63544AE3-E21E-4608-BC39-897003535CCE},240826.089838872721884,13795902926.799999237060547
"518",5002-MSWLF-1984,Jackson County Landfill,U.S. Highway 441,Dillsboro,NC,"28779",Jackson,MSW,LF,InactiveClosed,,Closed,35.371957999999999,-83.262763000000007,"63",63.000000000000000,196354.328125000000000,JACK,316710.531249999941792,644205.828106999979354,ARO,{63544AE3-E21E-4608-BC39-897003535CCE},240826.089838872721884,13795902926.799999237060547
"519",5101-CDLF-1998,Johnston County C&D Landfill,680 County Home Road,Smithfield,NC,"27577",Johnston,CD,LF,InactiveClosed,,Open,35.515521000000000,-78.429411000000002,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"520",5103-CDLF-,Johnston County C&D Landfill,680 County Home Road,Smithfield,NC,"27577",Johnston,CD,LF,Active,2012/08/24,Open,35.515951000000001,-78.424861000000007,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"521",5103-MSWLF-,Johnston County Landfill,680 County Home Road,Smithfield,NC,"27577",Johnston,MSW,LF,Active,2014/09/28,Open,35.516151000000001,-78.427650999999997,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"522",5103-MSWLF-1984,Johnston County Landfill,County Home Road (S.R. 1503),Smithfield,NC,"27577",Johnston,MSW,LF,InactiveClosed,,Closed,35.510950999999999,-78.429201000000006,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"523",5103-MSWLF-1997,Johnston County Landfill,680 County Home Road,Smithfield,NC,"27577",Johnston,MSW,LF,Active,2014/09/28,Open,35.513271000000003,-78.430761000000004,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"524",51A-DEMO-,T W Shirley,Hwy 70,Smithfield,NC,"27577",Johnston,CD,LF,InactiveClosed,,Closed,35.514037000000002,-78.350351000000003,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"525",51B-DEMO-,Sherri Blackmon,U.S. Highway 70 Bus.,Smithfield,NC,"27577",Johnston,CD,LF,InactiveClosed,,Closed,35.513809000000002,-78.349800999999999,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"526",51C-DEMO-,Jimmy Flowers,U.S. Highway 70 W.,Smithfield,NC,"27577",Johnston,CD,LF,InactiveClosed,,Closed,35.513035000000002,-78.351329000000007,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"527",51D-DEMO-,Wallace Demo Landfill,U.S. Highway 70,Smithfield,NC,"27577",Johnston,CD,LF,InactiveClosed,,Closed,35.514111000000000,-78.355386999999993,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"528",51E-LCID-,"Stump Dump, Inc.",611 Loop Road,Clayton,NC,"27520",Johnston,LCID,LF,InactiveClosed,,Closed,35.678652000000000,-78.399957999999998,"55",55.000000000000000,202073.828125000000000,JOHN,509250.437500000000000,662970.497489999979734,RRO,{E3AA816F-5F5A-4C0B-BF19-A96DF2FDD021},248602.575020861404482,22182934718.900001525878906
"529",5201-MSWLF-,Jones County Landfill,Jones County Landfill Road (S.R. 1343),Trenton,NC,"28585",Jones,MSW,LF,InactiveClosed,,Closed,35.059362999999998,-77.342248999999995,"80",80.000000000000000,213300.140625000000000,JONE,303755.781250000000000,699802.184126000036485,WARO,{1EAEAB40-50AF-4397-9143-C954D4AE5646},260639.479319841135293,13231592702.399999618530273
"530",5203-CDLF-2013,Maysville C & D,11710 Highway 17,Maysville,NC,"28555",Jones,CD,LF,Active,,Open,34.930450000000000,-77.245469999999997,"80",80.000000000000000,213300.140625000000000,JONE,303755.781250000000000,699802.184126000036485,WARO,{1EAEAB40-50AF-4397-9143-C954D4AE5646},260639.479319841135293,13231592702.399999618530273
"531",5301-CDLF-2002,Lee County C&D Landfill,331 Landfill Road,Sanford,NC,"27330",Lee,CD,LF,InactiveClosed,,Open,35.367840999999999,-79.192525000000003,"61",61.000000000000000,126332.328125000014552,LEE,165914.546875000000000,414475.335833000019193,RRO,{8206B83F-9B4A-4CE4-8A0E-79AE3F36AE73},155338.798022442089859,7227233078.539999961853027
"532",5301-MSWLF-1981,Lee County Landfill,Sanders Road (S.R. 1177),Lemon Springs,NC,"27332",Lee,MSW,LF,InactiveClosed,,Closed,35.369328000000003,-79.185371000000004,"61",61.000000000000000,126332.328125000014552,LEE,165914.546875000000000,414475.335833000019193,RRO,{8206B83F-9B4A-4CE4-8A0E-79AE3F36AE73},155338.798022442089859,7227233078.539999961853027
"533",53A-DEMO-,Nixon Mac Landfill,McNeil Road,Sanford,NC,"27330",Lee,CD,LF,InactiveClosed,,Closed,35.511923000000003,-79.209484000000003,"61",61.000000000000000,126332.328125000014552,LEE,165914.546875000000000,414475.335833000019193,RRO,{8206B83F-9B4A-4CE4-8A0E-79AE3F36AE73},155338.798022442089859,7227233078.539999961853027
"534",5403-CDLF-1997,Lenoir County CDLF,2949 Hodges Farm Road,LaGrange,NC,"28551",Lenoir,CD,LF,Active,2017/04/02,Open,35.296835999999999,-77.711254999999994,"72",72.000000000000000,167432.375000000000000,LENO,257265.828125000000000,549317.749390000011772,WARO,{5FAD5EA6-3A00-4619-B6C2-DB3FA6788EDD},205339.932905320194550,11206492142.200000762939453
"535",5403-MSWLF-1981,Lenoir County Landfill,Hodges Farm Road (S.R. 1524),La Grange,NC,"28551",Lenoir,MSW,LF,InactiveClosed,,Closed,35.296835999999999,-77.711254999999994,"72",72.000000000000000,167432.375000000000000,LENO,257265.828125000000000,549317.749390000011772,WARO,{5FAD5EA6-3A00-4619-B6C2-DB3FA6788EDD},205339.932905320194550,11206492142.200000762939453
"536",5404-INDUS-1981,Dupont,NC Highway 11,Kinston,NC,"28530",Lenoir,Indus,LF,InactiveClosed,,Closed,35.322420999999999,-77.477793000000005,"72",72.000000000000000,167432.375000000000000,LENO,257265.828125000000000,549317.749390000011772,WARO,{5FAD5EA6-3A00-4619-B6C2-DB3FA6788EDD},205339.932905320194550,11206492142.200000762939453
"537",5409-MSWLF-,Lenoir County MSW Landfill,2949 Hodges Farm Road,LaGrange,NC,"28551",Lenoir,MSW,LF,Active,2015/02/18,Open,35.294867000000004,-77.710199000000003,"72",72.000000000000000,167432.375000000000000,LENO,257265.828125000000000,549317.749390000011772,WARO,{5FAD5EA6-3A00-4619-B6C2-DB3FA6788EDD},205339.932905320194550,11206492142.200000762939453
"538",5410-LCID-2016,Everett's LCID Pit,4010 Aldridge Store Road,Kinston,NC,"28504",Lenoir,LCID,LF,Proposed,,Open,35.335000000000001,-77.727999999999994,"72",72.000000000000000,167432.375000000000000,LENO,257265.828125000000000,549317.749390000011772,WARO,{5FAD5EA6-3A00-4619-B6C2-DB3FA6788EDD},205339.932905320194550,11206492142.200000762939453
"539",54A-DEMO-1981,Kinston Demo Landfill,S.E. of Kinston,Kinston,NC,"28501",Lenoir,CD,LF,InactiveClosed,,Closed,35.245601999999998,-77.573027999999994,"72",72.000000000000000,167432.375000000000000,LENO,257265.828125000000000,549317.749390000011772,WARO,{5FAD5EA6-3A00-4619-B6C2-DB3FA6788EDD},205339.932905320194550,11206492142.200000762939453
"540",5502-MSWLF-,Lincoln County MSWLF (Owls Den),Owls Den Road,Lincolnton,NC,"28092",Lincoln,MSW,LF,InactiveClosed,,Closed,35.485740999999997,-81.309989000000002,"97",97.000000000000000,138930.328125000000000,LINC,196551.218750000000000,455807.279972999996971,MRO,{B8209E99-B2AC-418E-8455-079F20967EBA},170626.329749947064556,8561765841.579999923706055
"541",5503-CDLF-1999,Lincoln County C&D Unit,5291 Crouse Road,Crouse,NC,"28033",Lincoln,CD,LF,Active,2016/09/11,Open,35.422880999999997,-81.356950999999995,"97",97.000000000000000,138930.328125000000000,LINC,196551.218750000000000,455807.279972999996971,MRO,{B8209E99-B2AC-418E-8455-079F20967EBA},170626.329749947064556,8561765841.579999923706055
"542",5503-MSWLF-1986,Lincoln County Landfill,5291 Crouse Road,Crouse,NC,"28033",Lincoln,MSW,LF,Active,2016/09/16,Open,35.426378999999997,-81.353707000000000,"97",97.000000000000000,138930.328125000000000,LINC,196551.218750000000000,455807.279972999996971,MRO,{B8209E99-B2AC-418E-8455-079F20967EBA},170626.329749947064556,8561765841.579999923706055
"543",5504-CDLF-1999,Lake Norman Landfill,7099 Quarry Lane,Stanley,NC,"28164",Lincoln,CD,LF,Active,2016/04/01,Open,35.438575000000000,-81.014111000000000,"97",97.000000000000000,138930.328125000000000,LINC,196551.218750000000000,455807.279972999996971,MRO,{B8209E99-B2AC-418E-8455-079F20967EBA},170626.329749947064556,8561765841.579999923706055
"544",55A-DEMO-,Duke Power Landfill,Old Plank Road (S.R. 1511),Stanly,NC,"28164",Lincoln,CD,LF,InactiveClosed,,Closed,35.432206000000001,-81.029069000000007,"97",97.000000000000000,138930.328125000000000,LINC,196551.218750000000000,455807.279972999996971,MRO,{B8209E99-B2AC-418E-8455-079F20967EBA},170626.329749947064556,8561765841.579999923706055
"545",5601-MSWLF-1980,McDowell County Landfill,NC Highway 226,Marion,NC,"28752",McDowell,MSW,LF,InactiveClosed,,Closed,35.656095999999998,-81.956835999999996,"48",48.000000000000000,178542.265624999970896,MCDO,286755.812500000000000,585767.424022000050172,ARO,{6EEB6571-AFDA-485E-8739-C926CFDFE73A},220134.411969325534301,12491074436.200000762939453
"546",5603I-INDUS-2009,"International Automotive Components Group, NA",1506 E Main Street,Old Fort,NC,"28762",McDowell,Indus,LF,InactiveClosed,2007/09/19,Closed,35.629708000000001,-82.119669000000002,"48",48.000000000000000,178542.265624999970896,MCDO,286755.812500000000000,585767.424022000050172,ARO,{6EEB6571-AFDA-485E-8739-C926CFDFE73A},220134.411969325534301,12491074436.200000762939453
"547",5603-INDUS-1981,Collins & Aikman,1506 E Main Street,Old Fort,NC,"28762",McDowell,Indus,LF,InactiveClosed,,Closed,35.629708000000001,-82.119669000000002,"48",48.000000000000000,178542.265624999970896,MCDO,286755.812500000000000,585767.424022000050172,ARO,{6EEB6571-AFDA-485E-8739-C926CFDFE73A},220134.411969325534301,12491074436.200000762939453
"548",56A-LCID-,Ridgecrest Conference Center LCID,One Ridgecrest Drive,Ridgecrest,NC,"28770",McDowell,LCID,LF,InactiveClosed,2009/05/03,Closed,35.616619000000000,-82.263768999999996,"48",48.000000000000000,178542.265624999970896,MCDO,286755.812500000000000,585767.424022000050172,ARO,{6EEB6571-AFDA-485E-8739-C926CFDFE73A},220134.411969325534301,12491074436.200000762939453
"549",5701-MSWLF-1989,Macon County Landfill Closed,Lake Emory Road (S.R. 1325),Franklin,NC,"28734",Macon,MSW,LF,InactiveClosed,,Closed,35.209460999999997,-83.365330999999998,"74",74.000000000000000,198550.562500000000000,MACO,332573.156250000058208,651411.315583999967203,ARO,{C3947D01-490E-4004-AB17-6B083B9D5D24},243019.005770291085355,14486877792.600000381469727
"550",5702-MSWLF-1985,Macon County Landfill,Lake Emory Road (S.R. 1325),Highlands,NC,"28741",Macon,MSW,LF,InactiveClosed,,Closed,35.016900999999997,-83.174019000000001,"74",74.000000000000000,198550.562500000000000,MACO,332573.156250000058208,651411.315583999967203,ARO,{C3947D01-490E-4004-AB17-6B083B9D5D24},243019.005770291085355,14486877792.600000381469727
"551",5703-MSWLF-1992,Macon County Landfill Open,1448 Lakeside Drive,Franklin,NC,"28734",Macon,MSW,LF,Active,2015/07/27,Open,35.202343999999997,-83.380634999999998,"74",74.000000000000000,198550.562500000000000,MACO,332573.156250000058208,651411.315583999967203,ARO,{C3947D01-490E-4004-AB17-6B083B9D5D24},243019.005770291085355,14486877792.600000381469727
"552",5704-CDLF-1993,Highlands C&D Landfill,1080 Rich Gap Road,Highlands,NC,"28763",Macon,CD,LF,InactiveClosed,,Open,35.019663999999999,-83.174142000000003,"74",74.000000000000000,198550.562500000000000,MACO,332573.156250000058208,651411.315583999967203,ARO,{C3947D01-490E-4004-AB17-6B083B9D5D24},243019.005770291085355,14486877792.600000381469727
"553",5802-MSWLF-1981,Madison County Landfill,23 Long Branch Road,Marshall,NC,"28753",Madison,MSW,LF,InactiveClosed,,Closed,35.802905000000003,-82.650958000000003,"41",41.000000000000000,199718.171875000000000,MADI,289128.750000000000000,655242.018172999960370,ARO,{CEF0D844-6182-4A90-9A6D-6557B76371B6},246665.738392098515760,12594439879.299999237060547
"554",5803-CDLF-1995,Madison County C&D Unit,271 Craig Rudisill Road,Marshall,NC,"28753",Madison,CD,LF,Active,2016/06/16,Open,35.808900999999999,-82.716801000000004,"41",41.000000000000000,199718.171875000000000,MADI,289128.750000000000000,655242.018172999960370,ARO,{CEF0D844-6182-4A90-9A6D-6557B76371B6},246665.738392098515760,12594439879.299999237060547
"555",5803-MSWLF-1993,Madison County Landfill,271 Craig Rudisil Road,Marshall,NC,"28753",Madison,MSW,LF,InactiveClosed,,Closed,35.810760999999999,-82.727101000000005,"41",41.000000000000000,199718.171875000000000,MADI,289128.750000000000000,655242.018172999960370,ARO,{CEF0D844-6182-4A90-9A6D-6557B76371B6},246665.738392098515760,12594439879.299999237060547
"556",58A-DEMO-1991,Madison County Demo Landfill,Sweetwater Branch Road,Marshall,NC,"28753",Madison,CD,LF,InactiveClosed,,Closed,35.812097999999999,-82.725200999999998,"41",41.000000000000000,199718.171875000000000,MADI,289128.750000000000000,655242.018172999960370,ARO,{CEF0D844-6182-4A90-9A6D-6557B76371B6},246665.738392098515760,12594439879.299999237060547
"557",5901-CDLF-1995,Martin County C&D Landfill,1445 Landfill Road,Williamston,NC,"27892",Martin,CD,LF,Active,2016/12/19,Open,35.863416999999998,-77.092607999999998,"42",42.000000000000000,224334.859375000000000,MART,295971.843750000000000,736005.281076999963261,WARO,{15A26C40-7C91-4488-BA47-4FA05E336958},277068.334580802300479,12892526099.499998092651367
"558",5901-MSWLF-1985,Martin County Landfill,Corey Divine Road (S.R. 1440),Williamston,NC,"27892",Martin,MSW,LF,InactiveClosed,,Closed,35.865631000000000,-77.093427000000005,"42",42.000000000000000,224334.859375000000000,MART,295971.843750000000000,736005.281076999963261,WARO,{15A26C40-7C91-4488-BA47-4FA05E336958},277068.334580802300479,12892526099.499998092651367
"559",5902-INDUS-1981,Weyerhaeuser,Pulp Mill Road (S.R. 1565),Plymouth,NC,"27846",Martin,Indus,LF,InactiveClosed,,Closed,35.856178999999997,-76.806540999999996,"42",42.000000000000000,224334.859375000000000,MART,295971.843750000000000,736005.281076999963261,WARO,{15A26C40-7C91-4488-BA47-4FA05E336958},277068.334580802300479,12892526099.499998092651367
"560",6001-CDLF-1993,Harrisburg Road C&D Landfill,Harrisburg Road (S.R. 2805),Charlotte,NC,"28215",Mecklenburg,CD,LF,InactiveClosed,,Closed,35.219242000000001,-80.689635999999993,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"561",6001-MSWLF-1985,Harrisburg Road Landfill,Harrisburg Road (S.R. 2805),Charlotte,NC,"28215",Mecklenburg,MSW,LF,InactiveClosed,,Closed,35.219242000000001,-80.689635999999993,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"562",6002-MSWLF-1973,Holbrooks Rd Sanitary Landfill,15401 Holbrooks Road,Huntersville,NC,"28078",Mecklenburg,MSW,LF,InactiveClosed,,Closed,35.402811999999997,-80.814408999999998,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"563",6003-MSWLF-1980,York Road Sanitary Landfill,1525 West Tyvola Road,Charlotte,NC,"28217",Mecklenburg,MSW,LF,InactiveClosed,,Closed,35.170602000000002,-80.910927999999998,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"564",6004-INDUS-1981,Duke Power Company McGuire,12700 Hagers Ferry Road,Huntersville,NC,"28078",Mecklenburg,Indus,LF,Active,2014/07/07,Open,35.414582000000003,-80.945898999999997,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"565",6004-MSWLF-,Duke Power McGuire Nuclear MSWLF,NC Hwy 73,Huntersville,NC,"28078",Mecklenburg,MSW,LF,InactiveClosed,,Closed,35.412213999999999,-80.949440999999993,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"566",6005-INDUS-,Sodyeco Chemical Landfill,11701 Mount Holly Road,Charlotte,NC,"28214",Mecklenburg,Indus,LF,InactiveClosed,,Closed,35.298245999999999,-80.997152999999997,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"567",6013-CDLF-1993,Greenway Waste Solutions at North Meck,15300 Holbrooks Road,Huntersville,NC,"28078",Mecklenburg,CD,LF,Active,2017/01/20,Open,35.394996999999996,-80.816513000000000,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"568",6018TP-CDLF-,Phoenix Recycling Of Charlotte-Mecklbrg. (stockpiled 1999),5631 West Blvd.,Charlotte,NC,"28208",Mecklenburg,CD,LF,InactiveClosed,,Closed,35.194332000000003,-80.954505999999995,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"569",6019-MSWLF-2000,Mecklenburg County Landfill,17131 Lancaster Highway,Charlotte,NC,"28277",Mecklenburg,MSW,LF,Active,2015/01/06,Open,35.019361000000004,-80.848741000000004,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"570",60AA-LCID-,Sandoz,Mt. Holly Road / Blacksnake Road (S.R. 1606),Charlotte,NC,"28214",Mecklenburg,LCID,LF,InactiveClosed,,Closed,35.279715000000003,-81.005201000000000,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"571",60AB-LCID-,Blythe Construction Company,Mallard Creed Church Road,Charlotte,NC,"28262",Mecklenburg,LCID,LF,InactiveClosed,,Closed,35.321407000000001,-80.731486000000004,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"572",60AD-LCID-,Bickel Demolition Landfill,Shopton Road,Charlotte,NC,"28217",Mecklenburg,LCID,LF,InactiveClosed,,Closed,35.171989000000004,-80.951172999999997,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"573",60AE-LCID-,Maria Ricciardi,Timberley Place,Charlotte,NC,"28217",Mecklenburg,LCID,LF,InactiveClosed,,Closed,35.191744000000000,-80.939087999999998,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
"574",60AF-LCID-,Big Pineville Ame Zion Church,Providence Road,Charlotte,NC,"28277",Mecklenburg,LCID,LF,InactiveClosed,,Closed,35.043720999999998,-80.855998999999997,"98",98.000000000000000,192864.546875000000000,MECK,351606.437500000000000,632756.423076999955811,MRO,{32A1B429-A95E-47CE-97B1-07BB72B9F3F8},236507.398317632352700,15217170486.399999618530273
